Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,11.45138888888889,288,N/A
2-Pt Attempt,RARE,50.25,8,N/A
Block,RARE,43.333333333333336,6,N/A
Blocked Kick,COMMON,10.943396226415095,53,N/A
Blocked Kick,LEGENDARY,537.5,2,N/A
Field Goal,COMMON,13.287560581583199,619,N/A
Field Goal,RARE,130.2,5,N/A
Forced Fumble,COMMON,8.762794476035744,1231,N/A
Forced Fumble,RARE,42.4,10,N/A
Fumble Recovery,COMMON,12.032679738562091,153,N/A
Fumble Recovery,RARE,49.625,8,N/A
Interception,COMMON,8.123376623376624,1694,N/A
Interception,LEGENDARY,535.0,2,N/A
Interception,RARE,50.04743833017078,527,N/A
Kick Return,COMMON,8.94,50,N/A
Kick Return,RARE,57.68,50,N/A
Pass,COMMON,22.518381217176398,3237,N/A
Pass,RARE,128.6089108910891,202,N/A
Pass Defense,COMMON,9.364238410596027,151,N/A
Pass Defense,LEGENDARY,689.0,2,N/A
Pass Defense,RARE,54.375,8,N/A
Player Melt,COMMON,7.827118644067797,590,N/A
Player Melt,LEGENDARY,894.3846153846154,26,N/A
Player Melt,RARE,51.38928571428571,840,N/A
Pressure,LEGENDARY,1513.5,2,N/A
Punt,COMMON,5.071428571428571,56,N/A
Punt Return,COMMON,6.521739130434782,23,N/A
Punt Return,RARE,74.88,25,N/A
Reception,COMMON,10.90110855010427,9111,N/A
Reception,LEGENDARY,990.3333333333334,6,N/A
Reception,RARE,111.79017857142857,896,N/A
Rush,COMMON,11.566587677725119,4220,N/A
Rush,LEGENDARY,789.1818181818181,22,N/A
Rush,RARE,72.56190476190476,105,N/A
Sack,COMMON,7.480769230769231,1300,N/A
Sack,RARE,112.57142857142857,42,N/A
Safety,COMMON,6.1,50,N/A
Safety,RARE,74.0,2,N/A
Strip Sack,COMMON,10.73041474654378,868,N/A
Strip Sack,RARE,56.457142857142856,35,N/A
Tackle,COMMON,5.828025477707007,157,N/A
Tackle,RARE,79.5,2,N/A
Team Melt,COMMON,10.180602006688963,299,N/A
Team Melt,LEGENDARY,399.0,1,N/A
Team Melt,RARE,98.20967741935483,62,N/A
