Play_Type,mean,count,Position
2-Pt Attempt,25.43897298333014,5219,N/A
Block,66.95384615384616,325,N/A
Blocked Kick,38.14839277851167,4542,N/A
Field Goal,18.037945462415237,6931,N/A
Forced Fumble,14.702986022871665,9444,N/A
Fumble Recovery,31.697146932952926,7010,N/A
Interception,22.219248335655674,51672,N/A
Kick Return,27.630260869565216,2875,N/A
Pass,42.240944145828465,85580,N/A
Pass Defense,25.389886892880906,3006,N/A
Player Melt,59.97527910685805,23826,N/A
Pressure,1454.0,6,N/A
Punt,20.119260584376864,1677,N/A
Punt Return,18.44061085972851,1768,N/A
Reception,27.930638349133574,273941,N/A
Rush,27.41700549088853,129123,N/A
Sack,16.231275433089177,43005,N/A
Safety,13.742409402546523,1021,N/A
Strip Sack,16.610852032698745,18227,N/A
Tackle,13.785851780558229,6234,N/A
Team Melt,51.78674674938948,15151,N/A
