Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,17.237536007090625,4513,N/A
2-Pt Attempt,RARE,77.86543909348443,706,N/A
Block,RARE,66.95384615384616,325,N/A
Blocked Kick,COMMON,36.79907366563741,4534,N/A
Blocked Kick,LEGENDARY,802.875,8,N/A
Field Goal,COMMON,12.537934118348486,6709,N/A
Field Goal,RARE,184.25225225225225,222,N/A
Forced Fumble,COMMON,14.039736529532448,9261,N/A
Forced Fumble,RARE,48.26775956284153,183,N/A
Fumble Recovery,COMMON,28.24039209584565,6427,N/A
Fumble Recovery,LEGENDARY,1441.5,6,N/A
Fumble Recovery,RARE,55.54072790294627,577,N/A
Interception,COMMON,10.854678042038035,41962,N/A
Interception,LEGENDARY,957.4666666666667,90,N/A
Interception,RARE,63.041268191268195,9620,N/A
Kick Return,COMMON,16.072727272727274,2090,N/A
Kick Return,RARE,58.40127388535032,785,N/A
Pass,COMMON,32.063125529054425,80332,N/A
Pass,LEGENDARY,3251.0882352941176,34,N/A
Pass,RARE,178.12581511315688,5214,N/A
Pass Defense,COMMON,14.365853658536585,2583,N/A
Pass Defense,LEGENDARY,876.3571428571429,14,N/A
Pass Defense,RARE,65.88264058679707,409,N/A
Player Melt,COMMON,11.344556153066792,12831,N/A
Player Melt,LEGENDARY,1315.9865168539325,445,N/A
Player Melt,RARE,66.14170616113744,10550,N/A
Pressure,LEGENDARY,1454.0,6,N/A
Punt,COMMON,7.106626506024097,1660,N/A
Punt,LEGENDARY,1290.764705882353,17,N/A
Punt Return,COMMON,9.118553248492967,1493,N/A
Punt Return,RARE,69.05090909090909,275,N/A
Reception,COMMON,22.087051273584724,257423,N/A
Reception,LEGENDARY,1424.801886792453,106,N/A
Reception,RARE,109.85473158247517,16411,N/A
Reception,ULTIMATE,11777.0,1,N/A
Rush,COMMON,23.231604720237616,124570,N/A
Rush,LEGENDARY,1031.2772277227723,101,N/A
Rush,RARE,121.7533692722372,4452,N/A
Sack,COMMON,11.88785069830676,40455,N/A
Sack,LEGENDARY,2118.0,8,N/A
Sack,RARE,78.74075531077891,2542,N/A
Safety,COMMON,10.39471007121058,983,N/A
Safety,RARE,100.34210526315789,38,N/A
Strip Sack,COMMON,12.265825755353475,17045,N/A
Strip Sack,LEGENDARY,844.25,24,N/A
Strip Sack,RARE,63.413644214162346,1158,N/A
Tackle,COMMON,12.139046999512116,6149,N/A
Tackle,RARE,132.91764705882352,85,N/A
Team Melt,COMMON,20.685764499121266,11380,N/A
Team Melt,LEGENDARY,1173.3,70,N/A
Team Melt,RARE,126.20534990543096,3701,N/A
