Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,9.218478260869565,920,N/A
2-Pt Attempt,RARE,56.5,30,N/A
Block,RARE,43.22222222222222,27,N/A
Blocked Kick,COMMON,11.07514450867052,173,N/A
Blocked Kick,LEGENDARY,537.5,2,N/A
Field Goal,COMMON,11.46376811594203,1242,N/A
Field Goal,RARE,126.5,10,N/A
Forced Fumble,COMMON,8.276165803108809,1930,N/A
Forced Fumble,RARE,41.333333333333336,15,N/A
Fumble Recovery,COMMON,10.496428571428572,560,N/A
Fumble Recovery,RARE,51.05154639175258,97,N/A
Interception,COMMON,7.364197530864198,4050,N/A
Interception,LEGENDARY,555.3333333333334,3,N/A
Interception,RARE,53.22980431510286,1993,N/A
Kick Return,COMMON,8.503597122302159,139,N/A
Kick Return,RARE,55.60606060606061,132,N/A
Pass,COMMON,21.02764146219329,9985,N/A
Pass,LEGENDARY,1850.0,3,N/A
Pass,RARE,115.4770642201835,654,N/A
Pass Defense,COMMON,9.515738498789347,413,N/A
Pass Defense,LEGENDARY,689.0,2,N/A
Pass Defense,RARE,62.896995708154506,233,N/A
Player Melt,COMMON,8.842941176470589,1700,N/A
Player Melt,LEGENDARY,890.9705882352941,68,N/A
Player Melt,RARE,48.02286803239638,2099,N/A
Pressure,LEGENDARY,1513.5,2,N/A
Punt,COMMON,4.970238095238095,168,N/A
Punt Return,COMMON,8.701818181818181,275,N/A
Punt Return,RARE,65.14035087719299,57,N/A
Reception,COMMON,11.4763475138324,27291,N/A
Reception,LEGENDARY,887.5,14,N/A
Reception,RARE,75.27920143027414,3356,N/A
Reception,ULTIMATE,11777.0,1,N/A
Rush,COMMON,12.40854908997693,15604,N/A
Rush,LEGENDARY,742.5,30,N/A
Rush,RARE,104.71558245083207,661,N/A
Sack,COMMON,11.317114448910514,4727,N/A
Sack,LEGENDARY,899.0,1,N/A
Sack,RARE,74.8855421686747,166,N/A
Safety,COMMON,6.360655737704918,122,N/A
Safety,RARE,75.66666666666667,3,N/A
Strip Sack,COMMON,11.051300578034683,2768,N/A
Strip Sack,RARE,50.053763440860216,93,N/A
Tackle,COMMON,8.049438202247192,445,N/A
Tackle,RARE,91.45454545454545,11,N/A
Team Melt,COMMON,10.650711513583442,773,N/A
Team Melt,LEGENDARY,628.5,4,N/A
Team Melt,RARE,87.82113821138212,246,N/A
