Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,12.379608848990062,3119,N/A
2-Pt Attempt,RARE,69.50245499181669,611,N/A
Block,RARE,62.83870967741935,279,N/A
Blocked Kick,COMMON,39.61144883485309,3948,N/A
Blocked Kick,LEGENDARY,774.7142857142857,7,N/A
Field Goal,COMMON,12.493503937007874,5080,N/A
Field Goal,RARE,177.6157894736842,190,N/A
Forced Fumble,COMMON,14.151890482398956,7670,N/A
Forced Fumble,RARE,48.16763005780347,173,N/A
Fumble Recovery,COMMON,29.429339606788776,5951,N/A
Fumble Recovery,LEGENDARY,1429.8,5,N/A
Fumble Recovery,RARE,54.43579766536965,514,N/A
Interception,COMMON,10.881227967097532,34040,N/A
Interception,LEGENDARY,949.379746835443,79,N/A
Interception,RARE,62.552769546387054,8774,N/A
Kick Return,COMMON,10.11978021978022,910,N/A
Kick Return,RARE,58.9366391184573,726,N/A
Pass,COMMON,29.51578963727349,64346,N/A
Pass,LEGENDARY,2899.3571428571427,28,N/A
Pass,RARE,168.58122905027932,4475,N/A
Pass Defense,COMMON,14.163903363334912,2111,N/A
Pass Defense,LEGENDARY,829.0833333333334,12,N/A
Pass Defense,RARE,63.79328165374677,387,N/A
Player Melt,COMMON,11.460831589482304,10991,N/A
Player Melt,LEGENDARY,1309.0505319148936,376,N/A
Player Melt,RARE,62.07597321054835,9556,N/A
Pressure,LEGENDARY,1454.0,6,N/A
Punt,COMMON,7.014249790444258,1193,N/A
Punt,LEGENDARY,1290.764705882353,17,N/A
Punt Return,COMMON,9.665727699530516,1065,N/A
Punt Return,RARE,61.55882352941177,204,N/A
Reception,COMMON,20.347440443386123,192338,N/A
Reception,LEGENDARY,1340.433734939759,83,N/A
Reception,RARE,104.69234668018247,13811,N/A
Reception,ULTIMATE,11777.0,1,N/A
Rush,COMMON,21.27380707249141,92273,N/A
Rush,LEGENDARY,1007.1758241758242,91,N/A
Rush,RARE,110.5422708618331,3655,N/A
Sack,COMMON,11.949068872774317,29373,N/A
Sack,LEGENDARY,1545.0,6,N/A
Sack,RARE,74.9660441426146,2356,N/A
Safety,COMMON,9.904881101376722,799,N/A
Safety,RARE,93.86666666666666,30,N/A
Strip Sack,COMMON,12.54438995828149,13663,N/A
Strip Sack,LEGENDARY,850.5652173913044,23,N/A
Strip Sack,RARE,60.927188940092165,1085,N/A
Tackle,COMMON,12.389271255060729,4940,N/A
Tackle,RARE,126.0,74,N/A
Team Melt,COMMON,19.906263932233617,8972,N/A
Team Melt,LEGENDARY,1173.3,70,N/A
Team Melt,RARE,123.73987450085568,3506,N/A
