Player,Position,mean,count
Trey Lance,QB,2800.0,2
Los Angeles Chargers,Team,2100.0,1
New Orleans Saints,Team,1951.5,6
Pressley Harvin III,P,1290.764705882353,17
Travis Homer,RB,1160.0,1
George Pickens,WR,922.9677419354839,31
Breshad Perriman,WR,908.6,5
Aidan Hutchinson,DL,838.1666666666666,36
Zach Allen,DL,820.0,9
Travon Walker,LB,812.2142857142857,14
Michael Davis,DB,805.0,1
New York Jets,Team,801.4,15
Jordan Willis,DL,780.5,6
Dameon Pierce,RB,693.2121212121212,33
Sam Mills,LB,283.1898734177215,79
Tom Brady,QB,261.9845360824742,970
Jacksonville Jaguars,Team,232.14935064935065,154
Green Bay Packers,Team,232.04,50
Dalvin Cook,RB,231.7034013605442,735
Cameron Heyward,DL,189.78434782608696,575
Justin Tucker,K,175.7941176470588,170
Dallas Goedert,TE,173.8118811881188,101
Ezekiel Elliott,RB,163.2651515151515,132
Tennessee Titans,Team,155.03157894736842,380
Seattle Seahawks,Team,154.7872340425532,47
Patrick Mahomes II,QB,143.70648878107943,1649
Jared Goff,QB,134.86947791164658,498
New England Patriots,Team,126.50535077288941,841
Minkah Fitzpatrick,DB,120.67234042553191,470
Chicago Bears,Team,120.38010204081633,392
Micah Hyde,DB,115.00751879699249,133
Bryant Young,DL,114.85714285714286,196
Richard Seymour,DL,114.13829787234043,94
Kirk Cousins,QB,113.5921568627451,255
Cliff Branch,WR,110.27777777777777,36
Khalil Mack,LB,108.28915662650603,83
Jaelan Phillips,LB,103.20454545454545,44
Tony Boselli,OL,98.51162790697674,43
San Francisco 49ers,Team,94.49767441860465,215
Chris Godwin,WR,93.79384615384615,325
