Play_Type,mean,count,Position
2-Pt Attempt,12.127906976744185,1806,N/A
Block,45.296875,64,N/A
Blocked Kick,15.58877086494689,659,N/A
Field Goal,13.064631956912029,2228,N/A
Forced Fumble,8.804661487236404,3604,N/A
Fumble Recovery,17.634209170530653,1941,N/A
Interception,18.222419259498093,18609,N/A
Kick Return,34.63177805800757,793,N/A
Pass,30.35539610966659,30383,N/A
Pass Defense,20.529228855721392,1608,N/A
Player Melt,42.062398077418244,11651,N/A
Pressure,1375.3333333333333,3,N/A
Punt,7.3470715835141,461,N/A
Punt Return,18.286178861788617,615,N/A
Reception,22.68448196686566,84927,N/A
Rush,17.69254636148834,41899,N/A
Sack,17.05560603307287,11006,N/A
Safety,10.659701492537314,335,N/A
Strip Sack,14.95686501059118,5193,N/A
Tackle,8.957264957264957,1521,N/A
Team Melt,42.414560161779576,3956,N/A
