Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,4.962025316455696,79
A.J. Brown,COMMON,WR,14.439716312056738,141
A.J. Brown,RARE,WR,143.75,8
A.J. Green,COMMON,WR,5.8584905660377355,106
A.J. Green,RARE,WR,43.57377049180328,61
A.J. Moore Jr.,COMMON,DB,5.137254901960785,51
A.J. Terrell,COMMON,DB,5.2745098039215685,51
AJ Dillon,COMMON,RB,7.2631578947368425,152
Aaron Donald,COMMON,DL,20.170731707317074,41
Aaron Donald,LEGENDARY,DL,1254.0,4
Aaron Donald,RARE,DL,55.470588235294116,17
Aaron Jones,COMMON,RB,10.985294117647058,544
Aaron Rodgers,COMMON,QB,19.8725,800
Aaron Rodgers,RARE,QB,133.16666666666666,30
Adam Butler,COMMON,DL,5.023809523809524,84
Adam Thielen,COMMON,WR,5.1976744186046515,172
Adrian Peterson,COMMON,RB,5.184523809523809,168
Aeneas Williams,RARE,DB,40.61363636363637,44
Ahman Green,RARE,RB,38.25,12
Aidan Hutchinson,LEGENDARY,DL,667.3333333333334,3
Akiem Hicks,COMMON,DL,6.707581227436823,277
Albert Okwuegbunam,COMMON,TE,4.877358490566038,106
Alex Okafor,COMMON,DL,5.212765957446808,94
Alex Singleton,COMMON,LB,6.4875,80
Alexander Mattison,COMMON,RB,5.594594594594595,148
Ali Marpet,RARE,OL,39.333333333333336,12
Allen Lazard,COMMON,WR,5.9476744186046515,172
Allen Lazard,RARE,WR,44.8,20
Allen Robinson II,COMMON,WR,5.825581395348837,172
Alvin Kamara,COMMON,RB,19.980151228733458,1058
Alvin Kamara,RARE,RB,70.54545454545455,11
Amani Oruwariye,RARE,DB,42.73076923076923,26
Amari Cooper,COMMON,WR,9.908256880733944,109
Amari Cooper,RARE,WR,46.03883495145631,103
Ambry Thomas,COMMON,DB,7.113636363636363,44
Amon-Ra St. Brown,COMMON,WR,10.284023668639053,169
Amon-Ra St. Brown,LEGENDARY,WR,999.0,1
Amon-Ra St. Brown,RARE,WR,69.98550724637681,69
Andre Roberts,RARE,WR,48.88636363636363,44
Andrew Whitworth,COMMON,OL,5.085714285714285,35
Andy Dalton,COMMON,QB,19.671504965622614,1309
Anquan Boldin,RARE,WR,43.294117647058826,68
Anthony Barr,RARE,LB,39.1,10
Antoine Wesley,COMMON,WR,5.095890410958904,73
Antonio Freeman,COMMON,WR,5.8133333333333335,75
Antonio Gibson,COMMON,RB,4.978947368421053,95
Arizona Cardinals,COMMON,Team,8.864406779661017,118
Asante Samuel,RARE,DB,37.10344827586207,29
Ashton Dulin,COMMON,WR,4.905405405405405,74
Atlanta Falcons,COMMON,Team,6.360655737704918,122
Austin Ekeler,COMMON,RB,19.27860696517413,402
Austin Ekeler,RARE,RB,142.94736842105263,19
Azeez Ojulari,COMMON,LB,5.627906976744186,43
Baker Mayfield,COMMON,QB,5.166666666666667,108
Baker Mayfield,RARE,QB,37.51948051948052,77
Baltimore Ravens,COMMON,Team,9.55958549222798,193
Baltimore Ravens,RARE,Team,101.0,7
Ben Roethlisberger,COMMON,QB,12.035087719298245,57
Ben Roethlisberger,LEGENDARY,QB,1050.0,1
Ben Skowronek,COMMON,WR,6.755813953488372,86
Blake Lynch,COMMON,LB,4.9156626506024095,83
Bobby McCain,COMMON,DB,4.841463414634147,82
Bobby Wagner,RARE,LB,38.294117647058826,17
Boston Scott,COMMON,RB,5.46,100
Bradley Chubb,RARE,LB,45.666666666666664,6
Brandin Cooks,RARE,WR,58.21739130434783,23
Brandin Echols,COMMON,DB,5.188235294117647,85
Brandon Aiyuk,COMMON,WR,6.548780487804878,164
Brandon Aiyuk,RARE,WR,38.57333333333333,75
Brandon McManus,COMMON,K,4.96,100
Brandon Powell,RARE,WR,40.833333333333336,6
Braxton Berrios,COMMON,WR,5.441558441558442,77
Braxton Berrios,RARE,WR,49.333333333333336,3
Breece Hall,COMMON,RB,10.09192200557103,359
Breshad Perriman,LEGENDARY,WR,799.0,1
Brett Favre,COMMON,QB,30.162790697674417,43
Brett Favre,RARE,QB,62.111111111111114,9
Brian Burns,COMMON,DL,5.467741935483871,62
Brian Dawkins,RARE,DB,42.4,20
Brian Johnson,COMMON,K,6.0227272727272725,44
Brian Urlacher,COMMON,LB,7.804878048780488,123
Brock Wright,COMMON,TE,5.417910447761194,67
Bryan Edwards,RARE,WR,37.72222222222222,18
Bryant Young,RARE,DL,41.92857142857143,14
Budda Baker,COMMON,DB,6.904040404040404,198
Budda Baker,RARE,DB,49.05882352941177,51
Buffalo Bills,COMMON,Team,13.009345794392523,107
Buffalo Bills,RARE,Team,299.625,8
Byron Leftwich,COMMON,QB,5.729166666666667,48
Byron Murphy Jr.,COMMON,DB,6.973154362416107,149
Byron Pringle,COMMON,WR,5.236559139784946,93
