Player,Moment_Tier,Position,mean,count
A'Shawn Robinson,COMMON,DL,7.311774461028192,603
A.J. Brown,COMMON,WR,30.488505747126435,1044
A.J. Brown,RARE,WR,229.08333333333334,72
A.J. Green,COMMON,WR,8.243243243243244,592
A.J. Green,RARE,WR,45.148148148148145,108
A.J. Moore Jr.,COMMON,DB,7.1291866028708135,418
A.J. Terrell,COMMON,DB,7.458015267175573,393
AJ Dillon,COMMON,RB,50.15876623376624,3080
Aaron Donald,COMMON,DL,36.28493150684932,365
Aaron Donald,LEGENDARY,DL,1321.3,10
Aaron Donald,RARE,DL,73.76076555023923,209
Aaron Jones,COMMON,RB,23.937100485809257,3911
Aaron Rodgers,COMMON,QB,39.51522633744856,2430
Aaron Rodgers,LEGENDARY,QB,7133.333333333333,3
Aaron Rodgers,RARE,QB,172.34615384615384,156
Adam Butler,COMMON,DL,7.112546125461255,542
Adam Thielen,COMMON,WR,11.892149088025377,1261
Adrian Peterson,COMMON,RB,7.3215859030837,681
Aeneas Williams,RARE,DB,41.339622641509436,106
Ahman Green,RARE,RB,69.71111111111111,90
Aidan Hutchinson,LEGENDARY,DL,838.1666666666666,36
Akiem Hicks,COMMON,DL,7.102015113350126,794
Albert Okwuegbunam,COMMON,TE,9.6918123275069,1087
Alex Okafor,COMMON,DL,7.2782874617737,654
Alex Singleton,COMMON,LB,9.016470588235293,850
Alexander Mattison,COMMON,RB,6.414754098360656,610
Ali Marpet,RARE,OL,60.33160621761658,193
Allen Lazard,COMMON,WR,14.189873417721518,1185
Allen Lazard,RARE,WR,63.9080459770115,87
Allen Robinson II,COMMON,WR,8.760508849557523,1808
Alvin Kamara,COMMON,RB,21.495855312735493,2654
Alvin Kamara,RARE,RB,81.7560975609756,82
Amani Oruwariye,RARE,DB,47.65296803652968,219
Amari Cooper,COMMON,WR,31.194504699927695,1383
Amari Cooper,LEGENDARY,WR,734.3333333333334,6
Amari Cooper,RARE,WR,42.28373702422145,289
Ambry Thomas,COMMON,DB,13.83368869936034,469
Amon-Ra St. Brown,COMMON,WR,34.403125,2560
Amon-Ra St. Brown,LEGENDARY,WR,1372.0,4
Amon-Ra St. Brown,RARE,WR,97.88294314381271,598
Andre Roberts,RARE,WR,45.168539325842694,89
Andrew Whitworth,COMMON,OL,7.8427672955974845,318
Andy Dalton,COMMON,QB,14.816516197557089,3766
Anquan Boldin,RARE,WR,44.2,150
Anthony Barr,RARE,LB,52.83870967741935,93
Antoine Wesley,COMMON,WR,7.260223048327138,538
Antonio Freeman,COMMON,WR,8.055956678700362,554
Antonio Freeman,LEGENDARY,WR,824.5,2
Antonio Gibson,COMMON,RB,11.448687350835323,1257
Arizona Cardinals,COMMON,Team,10.179878048780488,656
Arizona Cardinals,LEGENDARY,Team,1200.0,1
Asante Samuel,RARE,DB,41.09274193548387,248
Ashton Dulin,COMMON,WR,8.686553873552983,1123
Atlanta Falcons,COMMON,Team,9.904881101376722,799
Austin Ekeler,COMMON,RB,47.96343612334802,4540
Austin Ekeler,LEGENDARY,RB,1244.6,5
Austin Ekeler,RARE,RB,174.06,300
Azeez Ojulari,COMMON,LB,10.917228103946101,1039
Baker Mayfield,COMMON,QB,12.313559322033898,826
Baker Mayfield,RARE,QB,52.31662269129288,379
Baltimore Ravens,COMMON,Team,10.714285714285714,686
Baltimore Ravens,RARE,Team,136.62121212121212,66
Ben Roethlisberger,COMMON,QB,11.716269841269842,504
Ben Roethlisberger,LEGENDARY,QB,1470.0,3
Ben Skowronek,COMMON,WR,11.833333333333334,726
Blake Lynch,COMMON,LB,6.885338345864661,532
Bobby McCain,COMMON,DB,7.055829228243021,609
Bobby Wagner,RARE,LB,51.67785234899329,149
Boston Scott,COMMON,RB,7.8531994981179425,797
Bradley Chubb,RARE,LB,76.85632183908046,174
Brandin Cooks,RARE,WR,75.75454545454545,110
Brandin Echols,COMMON,DB,8.315686274509805,510
Brandon Aiyuk,COMMON,WR,12.356064296151972,2053
Brandon Aiyuk,RARE,WR,38.57333333333333,75
Brandon McManus,COMMON,K,7.470170454545454,704
Brandon Powell,RARE,WR,49.18421052631579,38
Braxton Berrios,COMMON,WR,7.021526418786693,511
Braxton Berrios,RARE,WR,59.04651162790697,43
Breece Hall,COMMON,RB,22.490573942186845,2387
Breshad Perriman,LEGENDARY,WR,890.5,6
Brett Favre,COMMON,QB,43.97666666666667,300
Brett Favre,LEGENDARY,QB,1080.5,4
Brett Favre,RARE,QB,81.54320987654322,81
Brian Burns,COMMON,DL,7.407917383820998,581
Brian Dawkins,RARE,DB,44.688715953307394,257
Brian Johnson,COMMON,K,9.51086956521739,368
Brian Urlacher,COMMON,LB,20.89406779661017,2124
Brian Urlacher,LEGENDARY,LB,891.6153846153846,13
Brock Wright,COMMON,TE,30.082458307597282,3238
Bryan Edwards,RARE,WR,38.875,72
Bryant Young,LEGENDARY,DL,718.0625,16
Bryant Young,RARE,DL,65.07407407407408,189
Budda Baker,COMMON,DB,7.747637051039698,1058
Budda Baker,RARE,DB,47.7027027027027,111
Buffalo Bills,COMMON,Team,24.458447488584476,1095
Buffalo Bills,RARE,Team,349.88235294117646,34
Byron Leftwich,COMMON,QB,7.335195530726257,358
Byron Murphy Jr.,COMMON,DB,8.268847795163584,703
Byron Pringle,COMMON,WR,7.7762982689747,751
C.J. Gardner-Johnson,COMMON,DB,10.114457831325302,498
C.J. Mosley,COMMON,LB,11.518059299191375,1855
C.J. Uzomah,COMMON,TE,7.649325626204239,519
Cade York,COMMON,K,18.16332726168792,1647
Calvin Johnson,COMMON,WR,9.780689655172413,725
Cam Akers,COMMON,RB,5.827114427860696,804
Cam Newton,COMMON,QB,7.6958981612446955,707
Cam Sims,RARE,WR,38.44444444444444,144
Cameron Heyward,RARE,DL,184.31301482701812,607
Cameron Jordan,RARE,DL,90.12844036697248,109
Cameron Sutton,COMMON,DB,11.468656716417911,1675
Carlos Dunlap,RARE,DL,65.7843137254902,204
Carlos Watkins,RARE,DL,57.8876404494382,178
Carolina Panthers,COMMON,Team,10.565217391304348,690
Carson Wentz,COMMON,QB,17.434451219512194,1968
Carson Wentz,RARE,QB,77.16403785488959,317
Casey Hayward,RARE,DB,42.16831683168317,101
Cedrick Wilson Jr.,COMMON,WR,7.622568093385214,514
CeeDee Lamb,COMMON,WR,33.997729336966394,2202
CeeDee Lamb,RARE,WR,192.85814360770578,571
Chad Johnson,COMMON,WR,8.576086956521738,1196
Chad Johnson,LEGENDARY,WR,641.8125,16
Chandler Jones,RARE,LB,51.18354430379747,158
Charles Harris,COMMON,LB,7.381465517241379,464
Charles Tillman,COMMON,DB,19.731636363636362,2750
Charles Tillman,LEGENDARY,DB,686.5555555555555,9
Chase Claypool,COMMON,WR,14.833200319233839,1253
Chase Claypool,RARE,WR,50.7467018469657,379
Chase Edmonds,COMMON,RB,11.421323057161208,1557
Chicago Bears,RARE,Team,119.01927710843374,415
Chidobe Awuzie,COMMON,DB,7.6626746506986025,501
Chidobe Awuzie,RARE,DB,43.343434343434346,99
Chris Conley,COMMON,WR,7.101818181818182,550
Chris Godwin,LEGENDARY,WR,949.0,1
Chris Godwin,RARE,WR,92.63636363636364,352
Chris Harris Jr.,COMMON,DB,9.389728096676738,662
Chris Jones,COMMON,DL,13.872832369942197,2249
Chris Miller,COMMON,QB,10.550913838120104,383
Chris Olave,COMMON,WR,14.420849420849422,1295
Christian Kirk,COMMON,WR,12.561137440758294,1055
Christian McCaffrey,COMMON,RB,41.410690423162585,2245
Christian McCaffrey,RARE,RB,62.18115942028985,276
Christian Watson,COMMON,WR,7.03078677309008,877
Christian Wilkins,RARE,DL,65.97058823529412,136
Chuba Hubbard,COMMON,RB,8.852459016393443,732
Chuck Clark,RARE,DB,43.25196850393701,127
Cincinnati Bengals,COMMON,Team,42.974035608308604,2696
Cincinnati Bengals,LEGENDARY,Team,2029.4,5
Cincinnati Bengals,RARE,Team,174.68663594470047,217
Cliff Branch,LEGENDARY,WR,666.25,4
Cliff Branch,RARE,WR,43.292682926829265,41
Clyde Edwards-Helaire,COMMON,RB,19.0041928721174,1431
Clyde Edwards-Helaire,RARE,RB,57.88686868686869,495
Cole Holcomb,RARE,LB,43.13768115942029,138
Cooper Kupp,COMMON,WR,25.63872012960713,2469
Cooper Kupp,LEGENDARY,WR,2400.0,1
Cooper Kupp,RARE,WR,186.7987012987013,154
Cooper Rush,COMMON,QB,15.75,1332
Cordarrelle Patterson,COMMON,WR,18.423884514435695,762
Cordarrelle Patterson,RARE,WR,48.792792792792795,111
Courtland Sutton,COMMON,WR,24.25378296584522,4626
Courtland Sutton,RARE,WR,121.5,116
Cris Carter,COMMON,WR,8.094736842105263,475
Cris Carter,LEGENDARY,WR,799.0,1
Cyril Grayson,COMMON,WR,7.216867469879518,498
D'Andre Swift,COMMON,RB,26.396404919583727,1057
D'Andre Swift,RARE,RB,76.2830626450116,431
D'Ernest Johnson,COMMON,RB,7.6035422343324255,734
D'Onta Foreman,COMMON,RB,13.221082621082621,1755
D.J. Reader,COMMON,DL,6.92511013215859,454
D.J. Reed,RARE,DB,40.328455284552845,615
DJ Chark Jr.,COMMON,WR,7.348107109879963,1083
DJ Moore,COMMON,WR,14.699164345403899,718
DJ Moore,RARE,WR,62.4765625,128
DK Metcalf,COMMON,WR,21.997905027932962,1432
DK Metcalf,LEGENDARY,WR,839.6666666666666,3
DK Metcalf,RARE,WR,164.59756097560975,82
Dak Prescott,COMMON,QB,22.678571428571427,1092
Dak Prescott,LEGENDARY,QB,2876.0,3
Dallas Cowboys,COMMON,Team,54.989453125,2560
Dallas Goedert,RARE,TE,276.24848484848485,495
Dalvin Cook,LEGENDARY,RB,1437.4166666666667,12
Dalvin Cook,RARE,RB,218.50977835723597,767
Dameon Pierce,LEGENDARY,RB,693.2121212121212,33
Damien Harris,COMMON,RB,11.988538681948423,1047
Damien Harris,RARE,RB,50.98275862068966,116
Damiere Byrd,COMMON,WR,8.785404624277456,1384
Daniel Jones,COMMON,QB,18.88585279858969,2269
Daniel Jones,RARE,QB,37.1822429906542,214
Daniel Sorensen,RARE,DB,46.616504854368934,206
Dare Ogunbowale,COMMON,RB,7.485838779956427,459
Darius Leonard,RARE,LB,78.01694915254237,59
Darius Slay Jr.,LEGENDARY,DB,497.5625,16
Darius Slay Jr.,RARE,DB,54.061016949152545,295
Darius Slayton,COMMON,WR,7.298984034833091,689
Darnell Mooney,COMMON,WR,12.924259055982438,1822
Darnell Mooney,RARE,WR,55.58571428571429,70
Darrel Williams,COMMON,RB,7.5108910891089105,505
Darrell Henderson,COMMON,RB,12.344783715012722,786
Darren Waller,COMMON,TE,16.021496815286625,1256
Daunte Culpepper,COMMON,QB,7.443202979515829,537
Davante Adams,COMMON,WR,73.11918274687855,1762
Davante Adams,LEGENDARY,WR,2622.5,4
Davante Adams,RARE,WR,177.20863309352518,139
David Long Jr.,RARE,DB,39.4054054054054,148
David Long Jr.,RARE,LB,57.4,260
David Montgomery,COMMON,RB,21.00118287201325,4227
David Njoku,COMMON,TE,17.450728660652324,2882
Davis Mills,COMMON,QB,22.459631277813095,1573
Davis Mills,LEGENDARY,QB,1524.5,2
Davis Mills,RARE,QB,48.20083682008368,239
Dawson Knox,COMMON,TE,10.84992987377279,713
De'Vondre Campbell,COMMON,LB,17.620121732903687,2793
De'Vondre Campbell,RARE,LB,58.26171875,256
DeSean Jackson,RARE,WR,84.28888888888889,90
DeVante Parker,COMMON,WR,8.300982800982801,814
DeVante Parker,RARE,WR,31.948453608247423,291
DeVonta Smith,COMMON,WR,21.33469387755102,1960
DeVonta Smith,LEGENDARY,WR,856.15,20
DeVonta Smith,RARE,WR,85.47619047619048,210
Decobie Durant,COMMON,DB,10.008782936010038,797
Deebo Samuel,COMMON,WR,24.868439632854788,4249
Deebo Samuel,LEGENDARY,WR,1699.5,2
Deebo Samuel,RARE,WR,152.8,225
Demarcus Lawrence,RARE,DL,86.87333333333333,150
Demarcus Robinson,COMMON,WR,7.831822759315206,993
Demario Davis,RARE,LB,42.02281368821293,263
Denver Broncos,COMMON,Team,17.672447013487474,519
Denzel Perryman,COMMON,LB,7.4781818181818185,550
Denzel Ward,COMMON,DB,20.271296296296295,1080
Denzel Ward,RARE,DB,55.144385026737964,187
Derek Carr,COMMON,QB,32.34881949733435,2626
Derek Carr,RARE,QB,85.18781725888324,197
Derrick Brooks,COMMON,LB,12.275391611925215,1979
Derrick Brooks,RARE,LB,138.33333333333334,6
Derrick Brown,COMMON,DL,7.9710494571773225,829
Derrick Gore,RARE,RB,57.322916666666664,96
Derrick Henry,COMMON,RB,33.78623063683305,2905
Derrick Henry,LEGENDARY,RB,1010.7142857142857,7
Derwin James Jr.,COMMON,DB,13.226006191950464,969
Detroit Lions,COMMON,Team,8.851027397260275,584
Detroit Lions,RARE,Team,195.52173913043478,23
Devin Duvernay,RARE,WR,69.91089108910892,404
Devin McCourty,RARE,DB,47.30263157894737,76
Devin Singletary,COMMON,RB,8.528010033444817,2392
Devonta Freeman,COMMON,RB,7.2966417910447765,536
Diontae Johnson,COMMON,WR,22.001618122977348,1854
Diontae Johnson,RARE,WR,56.985736925515056,631
Donald Driver,COMMON,WR,22.121098626716606,1602
Donald Driver,RARE,WR,46.97872340425532,47
Donovan Peoples-Jones,COMMON,WR,12.954655870445345,1235
Dont'a Hightower,RARE,LB,49.87179487179487,39
Drake London,COMMON,WR,23.884324324324325,1850
Dre' Bly,RARE,DB,48.16763005780347,173
Dre'Mont Jones,COMMON,DL,8.248039215686275,1020
Drew Lock,COMMON,QB,7.489393939393939,660
Duron Harmon,COMMON,DB,8.03448275862069,783
