Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,8.854503464203233,1299,N/A
2-Pt Attempt,RARE,52.971830985915496,71,N/A
Block,RARE,42.319148936170215,47,N/A
Blocked Kick,COMMON,11.852331606217616,386,N/A
Blocked Kick,LEGENDARY,537.5,2,N/A
Field Goal,COMMON,10.168340224453633,1693,N/A
Field Goal,RARE,125.37931034482759,29,N/A
Forced Fumble,COMMON,8.314152966404574,2798,N/A
Forced Fumble,RARE,38.22727272727273,22,N/A
Fumble Recovery,COMMON,10.918139534883721,1075,N/A
Fumble Recovery,RARE,49.458015267175576,262,N/A
Interception,COMMON,7.107813123918541,7513,N/A
Interception,LEGENDARY,554.0,4,N/A
Interception,RARE,49.997277985709424,2939,N/A
Kick Return,COMMON,7.676579925650557,269,N/A
Kick Return,RARE,50.432432432432435,222,N/A
Pass,COMMON,19.756179281555532,18206,N/A
Pass,LEGENDARY,2051.0,9,N/A
Pass,RARE,132.13560666137985,1261,N/A
Pass Defense,COMMON,9.576783555018137,827,N/A
Pass Defense,LEGENDARY,689.0,2,N/A
Pass Defense,RARE,59.422222222222224,270,N/A
Player Melt,COMMON,9.184160905091138,3182,N/A
Player Melt,LEGENDARY,978.9037037037037,135,N/A
Player Melt,RARE,44.65824146275881,3719,N/A
Pressure,LEGENDARY,1513.5,2,N/A
Punt,COMMON,4.945686900958466,313,N/A
Punt Return,COMMON,8.231428571428571,350,N/A
Punt Return,RARE,58.84761904761905,105,N/A
Reception,COMMON,11.078078801550625,45659,N/A
Reception,LEGENDARY,932.4827586206897,29,N/A
Reception,RARE,83.72397272894786,5427,N/A
Reception,ULTIMATE,11777.0,1,N/A
Rush,COMMON,11.619306969768727,25338,N/A
Rush,LEGENDARY,774.1555555555556,45,N/A
Rush,RARE,92.9884437596302,1298,N/A
Sack,COMMON,9.511473087818697,7060,N/A
Sack,LEGENDARY,957.6666666666666,3,N/A
Sack,RARE,66.27803738317758,428,N/A
Safety,COMMON,6.650862068965517,232,N/A
Safety,RARE,78.16666666666667,6,N/A
Strip Sack,COMMON,9.826629680998613,3605,N/A
Strip Sack,RARE,46.93121693121693,189,N/A
Tackle,COMMON,7.384692849949648,993,N/A
Tackle,RARE,83.4,20,N/A
Team Melt,COMMON,11.933774834437086,1812,N/A
Team Melt,LEGENDARY,986.0,8,N/A
Team Melt,RARE,97.60861423220973,1068,N/A
