Player,Position,mean,count
Trey Lance,QB,2800.0,2
Los Angeles Chargers,Team,2100.0,1
New Orleans Saints,Team,1933.75,4
Pressley Harvin III,P,1383.4,5
Travis Homer,RB,1160.0,1
George Pickens,WR,922.9677419354839,31
Aidan Hutchinson,DL,836.421052631579,19
Zach Allen,DL,824.3333333333334,3
Travon Walker,LB,801.75,12
New York Jets,Team,761.6,10
Breshad Perriman,WR,722.6666666666666,3
Dameon Pierce,RB,693.2121212121212,33
Jordan Willis,DL,665.0,3
Green Bay Packers,Team,246.82926829268294,41
Dalvin Cook,RB,233.71387283236993,692
Tom Brady,QB,227.19878048780487,820
Jacksonville Jaguars,Team,226.31034482758622,87
Sam Mills,LB,218.1851851851852,54
Justin Tucker,K,168.22115384615384,104
Dallas Goedert,TE,166.46478873239437,71
Patrick Mahomes II,QB,149.09642857142856,1400
Seattle Seahawks,Team,148.32432432432432,37
Tennessee Titans,Team,133.31052631578947,190
Ezekiel Elliott,RB,130.07407407407408,81
Bryant Young,DL,125.03571428571429,84
New England Patriots,Team,123.41642228739003,682
Jared Goff,QB,118.62903225806451,310
Chicago Bears,Team,114.04897959183674,245
Micah Hyde,DB,103.46153846153847,104
Khalil Mack,LB,102.68333333333334,60
Chris Godwin,WR,93.62962962962963,297
Jaelan Phillips,LB,92.0,33
Tony Boselli,OL,89.5945945945946,37
San Francisco 49ers,Team,88.46808510638297,94
Cameron Jordan,DL,88.27058823529411,85
Cliff Branch,WR,87.85185185185185,27
Latavius Murray,RB,87.10840108401084,369
Richard Seymour,DL,86.47169811320755,53
Kirk Cousins,QB,85.21323529411765,136
Darius Slay Jr.,DB,84.7918552036199,221
