Play_Type,mean,count,Position
2-Pt Attempt,21.736729222520108,3730,N/A
Block,62.83870967741935,279,N/A
Blocked Kick,40.91251580278129,3955,N/A
Field Goal,18.446679316888044,5270,N/A
Forced Fumble,14.9022057886013,7843,N/A
Fumble Recovery,32.49814528593509,6470,N/A
Interception,23.179446529736786,42893,N/A
Kick Return,31.783007334963326,1636,N/A
Pass,39.721796975990934,68849,N/A
Pass Defense,25.71195219123506,2510,N/A
Player Melt,57.896429766285905,20923,N/A
Pressure,1454.0,6,N/A
Punt,25.050413223140495,1210,N/A
Punt Return,18.00788022064618,1269,N/A
Reception,26.584130570762195,206233,N/A
Rush,25.6062133536071,96019,N/A
Sack,16.917283756105245,31735,N/A
Safety,12.943305186972255,829,N/A
Strip Sack,17.403222530634352,14771,N/A
Tackle,14.066015157558835,5014,N/A
Team Melt,55.35240675804909,12548,N/A
