Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,9.271655863288155,1697,N/A
2-Pt Attempt,RARE,56.596330275229356,109,N/A
Block,RARE,45.296875,64,N/A
Blocked Kick,COMMON,14.0,657,N/A
Blocked Kick,LEGENDARY,537.5,2,N/A
Field Goal,COMMON,10.178522257916475,2179,N/A
Field Goal,RARE,141.40816326530611,49,N/A
Forced Fumble,COMMON,8.514710002801905,3569,N/A
Forced Fumble,RARE,38.371428571428574,35,N/A
Fumble Recovery,COMMON,12.154078549848943,1655,N/A
Fumble Recovery,RARE,49.34615384615385,286,N/A
Interception,COMMON,8.699627637567232,14502,N/A
Interception,LEGENDARY,738.2,10,N/A
Interception,RARE,50.17256529167684,4097,N/A
Kick Return,COMMON,8.172774869109947,382,N/A
Kick Return,RARE,59.223844282238446,411,N/A
Pass,COMMON,22.4834455667789,28512,N/A
Pass,LEGENDARY,2334.0833333333335,12,N/A
Pass,RARE,136.2189349112426,1859,N/A
Pass Defense,COMMON,10.350877192982455,1311,N/A
Pass Defense,LEGENDARY,709.3333333333334,3,N/A
Pass Defense,RARE,58.88775510204081,294,N/A
Player Melt,COMMON,10.395230524642288,6290,N/A
Player Melt,LEGENDARY,1066.6976744186047,172,N/A
Player Melt,RARE,46.4850645596454,5189,N/A
Pressure,LEGENDARY,1375.3333333333333,3,N/A
Punt,COMMON,5.626086956521739,460,N/A
Punt,LEGENDARY,799.0,1,N/A
Punt Return,COMMON,8.70824949698189,497,N/A
Punt Return,RARE,58.6271186440678,118,N/A
Reception,COMMON,14.828146796167134,76705,N/A
Reception,LEGENDARY,974.170731707317,41,N/A
Reception,RARE,90.14841075794621,8180,N/A
Reception,ULTIMATE,11777.0,1,N/A
Rush,COMMON,13.708073915425611,40154,N/A
Rush,LEGENDARY,788.0377358490566,53,N/A
Rush,RARE,88.12056737588652,1692,N/A
Sack,COMMON,9.202646384663472,9598,N/A
Sack,LEGENDARY,957.6666666666666,3,N/A
Sack,RARE,68.6932384341637,1405,N/A
Safety,COMMON,8.671779141104295,326,N/A
Safety,RARE,82.66666666666667,9,N/A
Strip Sack,COMMON,9.620190229139645,4626,N/A
Strip Sack,LEGENDARY,591.3333333333334,3,N/A
Strip Sack,RARE,55.663120567375884,564,N/A
Tackle,COMMON,7.697192513368984,1496,N/A
Tackle,RARE,84.36,25,N/A
Team Melt,COMMON,13.317944899478778,2686,N/A
Team Melt,LEGENDARY,873.0,12,N/A
Team Melt,RARE,96.61685214626391,1258,N/A
