Play_Type,mean,count,Position
2-Pt Attempt,10.711578947368421,950,N/A
Block,43.22222222222222,27,N/A
Blocked Kick,17.091428571428573,175,N/A
Field Goal,12.38258785942492,1252,N/A
Forced Fumble,8.531105398457584,1945,N/A
Fumble Recovery,16.484018264840184,657,N/A
Interception,22.755210056235526,6046,N/A
Kick Return,31.44649446494465,271,N/A
Pass,27.34758504040594,10642,N/A
Pass Defense,30.807098765432098,648,N/A
Player Melt,45.621670545642615,3867,N/A
Pressure,1513.5,2,N/A
Punt,4.970238095238095,168,N/A
Punt Return,18.39156626506024,332,N/A
Reception,19.243363120474854,30662,N/A
Rush,17.497084995397362,16295,N/A
Sack,13.654679199019208,4894,N/A
Safety,8.024,125,N/A
Strip Sack,12.319119189094723,2861,N/A
Tackle,10.06140350877193,456,N/A
Team Melt,31.623655913978496,1023,N/A
