Player,Position,mean,count
Trey Lance,QB,4191.666666666667,3
Los Angeles Chargers,Team,2100.0,1
New Orleans Saints,Team,1951.5,6
Pressley Harvin III,P,1290.764705882353,17
Travis Homer,RB,1160.0,1
George Pickens,WR,922.9677419354839,31
Breshad Perriman,WR,890.5,6
Aidan Hutchinson,DL,838.1666666666666,36
Zach Allen,DL,820.0,9
Travon Walker,LB,812.2142857142857,14
New York Jets,Team,801.4,15
Jordan Willis,DL,774.7142857142857,7
Michael Davis,DB,713.3333333333334,3
Dameon Pierce,RB,693.2121212121212,33
Dallas Goedert,TE,276.24848484848485,495
Tom Brady,QB,274.68548387096774,1116
Sam Mills,LB,258.8876404494382,89
Dalvin Cook,RB,237.28626444159178,779
Green Bay Packers,Team,229.75,68
Jacksonville Jaguars,Team,226.95731707317074,164
Cameron Heyward,DL,184.31301482701812,607
Justin Tucker,K,177.6157894736842,190
Seattle Seahawks,Team,175.46268656716418,67
Ezekiel Elliott,RB,174.73417721518987,158
Patrick Mahomes II,QB,149.8489932885906,2384
Tennessee Titans,Team,147.62823529411764,425
Jared Goff,QB,132.37254901960785,561
Kirk Cousins,QB,130.3342776203966,353
Khalil Mack,LB,127.50806451612904,124
New England Patriots,Team,126.11638418079096,885
Minkah Fitzpatrick,DB,119.89112903225806,496
Chicago Bears,Team,119.01927710843374,415
Micah Hyde,DB,116.24324324324324,148
Bryant Young,DL,116.0390243902439,205
Jaelan Phillips,LB,114.73684210526316,57
Mike Williams,WR,112.05816135084427,1599
Richard Seymour,DL,109.6470588235294,102
Rashod Bateman,WR,103.00697674418605,430
Cliff Branch,WR,98.66666666666667,45
San Francisco 49ers,Team,96.79661016949153,236
