Play_Type,mean,count,Position
2-Pt Attempt,16.222768222768224,2442,N/A
Block,59.76255707762557,219,N/A
Blocked Kick,16.15406976744186,1376,N/A
Field Goal,17.536435469710273,3417,N/A
Forced Fumble,10.718809980806142,4168,N/A
Fumble Recovery,36.171249494541044,4946,N/A
Interception,20.51755084923464,23845,N/A
Kick Return,34.911708253358924,1042,N/A
Pass,34.590502302001966,38662,N/A
Pass Defense,23.677365799667957,1807,N/A
Player Melt,51.582969432314414,16030,N/A
Pressure,1406.25,4,N/A
Punt,17.790017211703958,581,N/A
Punt Return,18.321629213483146,712,N/A
Reception,23.011222600232546,116105,N/A
Rush,20.099770744104212,56269,N/A
Sack,16.74863092421067,14791,N/A
Safety,12.240234375,512,N/A
Strip Sack,16.365464138029374,7013,N/A
Tackle,10.20300409649522,2197,N/A
Team Melt,59.648065361492215,6487,N/A
