Player,Position,mean,count
Trey Lance,QB,4191.666666666667,3
Los Angeles Chargers,Team,2100.0,1
New Orleans Saints,Team,1951.5,6
Pressley Harvin III,P,1290.764705882353,17
Travis Homer,RB,1229.5,2
George Pickens,WR,922.9677419354839,31
Breshad Perriman,WR,902.5714285714286,7
Aidan Hutchinson,DL,838.1666666666666,36
Zach Allen,DL,820.0,9
Travon Walker,LB,812.2142857142857,14
Jordan Willis,DL,802.875,8
New York Jets,Team,801.4,15
Michael Davis,DB,713.3333333333334,3
Dameon Pierce,RB,693.2121212121212,33
Tom Brady,QB,286.62939297124603,1252
Dallas Goedert,TE,269.7752808988764,534
Dalvin Cook,RB,252.30605381165918,892
Sam Mills,LB,242.25,104
Green Bay Packers,Team,232.0344827586207,87
Jacksonville Jaguars,Team,224.8343195266272,169
Ezekiel Elliott,RB,200.21632653061224,245
Seattle Seahawks,Team,191.1341463414634,82
Justin Tucker,K,184.25225225225225,222
Cameron Heyward,DL,181.0414673046252,627
Jaelan Phillips,LB,180.95081967213116,61
Richard Seymour,DL,149.55172413793105,116
Tennessee Titans,Team,144.54362416107384,447
Khalil Mack,LB,142.87570621468927,177
Patrick Mahomes II,QB,139.66666666666666,3084
Kirk Cousins,QB,134.90540540540542,444
Jared Goff,QB,130.68227424749165,598
Chris Godwin,WR,127.02760736196319,652
New England Patriots,Team,126.80458515283843,916
Micah Hyde,DB,123.2994011976048,167
Mike Williams,WR,122.25965304980414,1787
Cliff Branch,WR,122.22950819672131,61
Bryant Young,DL,120.8609865470852,223
Minkah Fitzpatrick,DB,119.89112903225806,496
Chicago Bears,Team,117.54462242562929,437
Rashod Bateman,WR,112.98379629629629,432
