Play_Type,mean,count,Position
2-Pt Attempt,18.762787915046367,3343,N/A
Block,61.92885375494071,253,N/A
Blocked Kick,43.015316067947644,3591,N/A
Field Goal,18.782589084348217,4434,N/A
Forced Fumble,11.315215153386864,4857,N/A
Fumble Recovery,33.30452194226598,5993,N/A
Interception,24.672917183238283,32264,N/A
Kick Return,34.69880418535127,1338,N/A
Pass,37.15327821503357,55396,N/A
Pass Defense,25.127488151658767,2110,N/A
Player Melt,56.264472190692395,19382,N/A
Pressure,1425.0,5,N/A
Punt,31.708670520231212,865,N/A
Punt Return,17.96536312849162,895,N/A
Reception,22.939002105430422,151038,N/A
Rush,21.672927433324265,69853,N/A
Sack,16.72263607696175,21881,N/A
Safety,12.635258358662615,658,N/A
Strip Sack,18.043572113847137,12508,N/A
Tackle,13.473786881248476,4101,N/A
Team Melt,61.032826747720364,9870,N/A
