Player,Position,mean,count
Travis Homer,RB,1160.0,1
Breshad Perriman,WR,799.0,1
George Pickens,WR,795.7,10
Dameon Pierce,RB,714.4545454545455,22
Aidan Hutchinson,DL,667.3333333333334,3
New York Jets,Team,620.0,2
Jordan Willis,DL,537.5,2
Travon Walker,LB,506.6666666666667,3
Dalvin Cook,RB,266.26808510638296,235
Tom Brady,QB,178.73397435897436,312
Darius Slay Jr.,DB,163.76923076923077,26
Dallas Goedert,TE,158.6875,16
Seattle Seahawks,Team,144.0,8
Justin Tucker,K,126.5,10
Tennessee Titans,Team,117.91666666666667,12
Jacksonville Jaguars,Team,117.75,12
Ezekiel Elliott,RB,115.875,16
Patrick Mahomes II,QB,112.75121951219512,205
Green Bay Packers,Team,111.28571428571429,7
Aaron Donald,DL,109.45161290322581,62
Micah Hyde,DB,100.42857142857143,21
Odell Beckham Jr.,WR,99.7394366197183,142
Jared Goff,QB,93.0,24
Chris Godwin,WR,92.3917525773196,97
Jaelan Phillips,LB,90.55555555555556,18
New England Patriots,Team,89.33333333333333,30
DeSean Jackson,WR,84.18181818181819,33
Demarcus Lawrence,DL,79.04761904761905,63
Khalil Mack,LB,75.07142857142857,14
San Francisco 49ers,Team,73.85714285714286,14
Kirk Cousins,QB,69.625,32
Devin Duvernay,WR,68.64406779661017,59
Cameron Jordan,DL,68.0,9
Logan Thomas,TE,66.39690721649484,194
Chicago Bears,Team,65.0,4
J.J. Watt,DL,64.96153846153847,26
Mike Williams,WR,64.21698113207547,106
Leighton Vander Esch,LB,63.706586826347305,167
Joe Haden,DB,63.69230769230769,26
Quinn Meinerz,OL,61.75,4
