Play_Type,mean,count,Position
2-Pt Attempt,12.5,296,N/A
Block,43.333333333333336,6,N/A
Blocked Kick,30.09090909090909,55,N/A
Field Goal,14.224358974358974,624,N/A
Forced Fumble,9.033843674456083,1241,N/A
Fumble Recovery,13.900621118012422,161,N/A
Interception,18.53621232568601,2223,N/A
Kick Return,33.31,100,N/A
Pass,28.749927304448967,3439,N/A
Pass Defense,20.043478260869566,161,N/A
Player Melt,48.79052197802198,1456,N/A
Pressure,1513.5,2,N/A
Punt,5.071428571428571,56,N/A
Punt Return,42.125,48,N/A
Reception,20.515929291920504,10013,N/A
Rush,16.97538532321141,4347,N/A
Sack,10.769746646795827,1342,N/A
Safety,8.711538461538462,52,N/A
Strip Sack,12.502768549280177,903,N/A
Tackle,6.754716981132075,159,N/A
Team Melt,26.331491712707184,362,N/A
