Play_Type,Moment_Tier,mean,count,Position
2-Pt Attempt,COMMON,10.88815099615519,2861,N/A
2-Pt Attempt,RARE,65.50414937759336,482,N/A
Block,RARE,61.92885375494071,253,N/A
Blocked Kick,COMMON,41.78103207810321,3585,N/A
Blocked Kick,LEGENDARY,780.5,6,N/A
Field Goal,COMMON,12.522748592870544,4264,N/A
Field Goal,RARE,175.7941176470588,170,N/A
Forced Fumble,COMMON,10.036460554371002,4690,N/A
Forced Fumble,RARE,47.22754491017964,167,N/A
Fumble Recovery,COMMON,30.539859636494512,5557,N/A
Fumble Recovery,LEGENDARY,1429.8,5,N/A
Fumble Recovery,RARE,52.74941995359629,431,N/A
Interception,COMMON,9.393220620612304,24073,N/A
Interception,LEGENDARY,879.231884057971,69,N/A
Interception,RARE,62.70093573011574,8122,N/A
Kick Return,COMMON,9.504545454545454,660,N/A
Kick Return,RARE,59.22418879056047,678,N/A
Pass,COMMON,27.36523603492235,51772,N/A
Pass,LEGENDARY,2813.6153846153848,26,N/A
Pass,RARE,157.93107281823234,3598,N/A
Pass Defense,COMMON,11.515133876600698,1718,N/A
Pass Defense,LEGENDARY,823.6363636363636,11,N/A
Pass Defense,RARE,63.45406824146982,381,N/A
Player Melt,COMMON,11.36788086134031,9938,N/A
Player Melt,LEGENDARY,1213.5014326647565,349,N/A
Player Melt,RARE,60.91610775151182,9095,N/A
Pressure,LEGENDARY,1425.0,5,N/A
Punt,COMMON,6.46816037735849,848,N/A
Punt,LEGENDARY,1290.764705882353,17,N/A
Punt Return,COMMON,8.54945054945055,728,N/A
Punt Return,RARE,59.01197604790419,167,N/A
Reception,COMMON,16.778630929784477,139613,N/A
Reception,LEGENDARY,1131.4782608695652,69,N/A
Reception,RARE,90.9112285336856,11355,N/A
Reception,ULTIMATE,11777.0,1,N/A
Rush,COMMON,16.56981007332612,66552,N/A
Rush,LEGENDARY,936.4683544303797,79,N/A
Rush,RARE,104.65052762259467,3222,N/A
Sack,COMMON,10.33872844064539,19771,N/A
Sack,LEGENDARY,1545.0,6,N/A
Sack,RARE,72.35313688212928,2104,N/A
Safety,COMMON,9.546603475513429,633,N/A
Safety,RARE,90.84,25,N/A
Strip Sack,COMMON,12.616298366669579,11449,N/A
Strip Sack,LEGENDARY,850.5652173913044,23,N/A
Strip Sack,RARE,59.53861003861004,1036,N/A
Tackle,COMMON,12.370772648728709,4051,N/A
Tackle,RARE,102.84,50,N/A
Team Melt,COMMON,18.29688698052446,6521,N/A
Team Melt,LEGENDARY,1173.3,70,N/A
Team Melt,RARE,122.2778286062824,3279,N/A
