Player,Position,mean,count
Trey Lance,QB,2700.0,1
Los Angeles Chargers,Team,2100.0,1
Travis Homer,RB,1160.0,1
George Pickens,WR,861.5652173913044,23
Breshad Perriman,WR,799.0,1
Dameon Pierce,RB,693.0333333333333,30
Travon Walker,LB,692.5,4
Aidan Hutchinson,DL,663.0,4
New York Jets,Team,629.6666666666666,3
Jordan Willis,DL,537.5,2
Dalvin Cook,RB,237.5185185185185,621
Tom Brady,QB,201.6567505720824,437
Patrick Mahomes II,QB,174.385,400
Dallas Goedert,TE,160.65217391304347,46
Justin Tucker,K,125.37931034482759,29
Seattle Seahawks,Team,125.11764705882354,17
New England Patriots,Team,120.46761133603239,494
Green Bay Packers,Team,117.0,27
Ezekiel Elliott,RB,109.6086956521739,46
Jacksonville Jaguars,Team,106.22222222222223,27
Latavius Murray,RB,99.125,264
Jaelan Phillips,LB,88.1923076923077,26
Chris Godwin,WR,86.8360655737705,122
Jared Goff,QB,82.48936170212765,47
Micah Hyde,DB,81.63934426229508,61
Tony Boselli,OL,81.63636363636364,22
Demarcus Lawrence,DL,78.4090909090909,66
DeSean Jackson,WR,77.55357142857143,56
Darius Slay Jr.,DB,76.85380116959064,171
Khalil Mack,LB,73.29032258064517,31
Tennessee Titans,Team,72.22857142857143,35
Kirk Cousins,QB,71.81333333333333,75
Cameron Jordan,DL,70.0,15
San Francisco 49ers,Team,69.47368421052632,38
Devin Duvernay,WR,64.81927710843374,83
Mike Williams,WR,64.34453781512605,238
Logan Thomas,TE,64.28708133971291,209
Chicago Bears,Team,64.04,25
Joe Haden,DB,63.607142857142854,28
J.J. Watt,DL,63.28125,32
