Player,Position,mean,count
Trey Lance,QB,2800.0,2
Los Angeles Chargers,Team,2100.0,1
Travis Homer,RB,1160.0,1
George Pickens,WR,922.9677419354839,31
Breshad Perriman,WR,799.0,1
Pressley Harvin III,P,799.0,1
Aidan Hutchinson,DL,758.7142857142857,7
Travon Walker,LB,712.0,5
Dameon Pierce,RB,693.2121212121212,33
New York Jets,Team,672.0,4
Jordan Willis,DL,537.5,2
Dalvin Cook,RB,235.6167192429022,634
Tom Brady,QB,204.7443181818182,528
Dallas Goedert,TE,164.234375,64
Jacksonville Jaguars,Team,151.36363636363637,33
Justin Tucker,K,141.40816326530611,49
Seattle Seahawks,Team,133.6086956521739,23
Patrick Mahomes II,QB,131.44490131578948,1216
New England Patriots,Team,118.80539499036608,519
Green Bay Packers,Team,117.54838709677419,31
Ezekiel Elliott,RB,115.14285714285714,56
Jared Goff,QB,102.71559633027523,109
Sam Mills,LB,96.79310344827586,29
Latavius Murray,RB,94.96969696969697,297
Jaelan Phillips,LB,89.06666666666666,30
Cameron Jordan,DL,88.27272727272727,77
Chris Godwin,WR,87.16883116883118,154
Darius Slay Jr.,DB,86.05759162303664,191
CeeDee Lamb,WR,83.81801357186922,1621
Mike Williams,WR,82.15789473684211,1121
Khalil Mack,LB,80.67391304347827,46
Kirk Cousins,QB,80.5575221238938,113
Demarcus Lawrence,DL,78.91025641025641,78
Davante Adams,WR,78.70922509225092,1355
DeSean Jackson,WR,78.47540983606558,61
Micah Hyde,DB,77.09782608695652,92
Tony Boselli,OL,75.96296296296296,27
Aaron Donald,DL,71.74863387978142,366
Devin Duvernay,WR,71.03252032520325,246
San Francisco 49ers,Team,70.93023255813954,43
